order_braun;adjective;shorthand;text;page;corpus;
204;easy;SS;std;62;A;
205;exact;KA;was;73;A;
206;feeble;KS;sta;9;A;
207;flashy;KA;cop;117;A;
208;fleshy;KA;bow;208;A;
209;flimsy;SS;smc;26;A;
210;foggy;SS;hp;62;A;
211;friendly;KA;asil;83;A;
212;friendly;KA;cop;190;A;
213;friendly;KA;stb;17;A;
214;fruity;KS;sta;32;A;
215;funny;KS;cop;56;A;
216;funny;KS;stb;38;A;
217;funny;SS;asil;338;A;
218;funny;SS;sta;52;A;
219;funny;SS;stb;43;A;
220;funny;SS;stc;30;A;
221;gentle;KA;bow;112;A;
222;gentle;KA;bow;112;A;
223;gentle;KS;cop;163;A;
224;gentle;SS;sma;21;A;
225;giddy;SS;stb;63;A;
226;gloomy;KA;stb;41;A;
227;greedy;KS;asil;47;A;
228;handsome;KS;cop;221;A;
229;happy;KS;asil;141;A;
230;happy;KS;asil;295;A;
231;happy;KS;asil;296;A;
232;happy;KS;asil;346;A;
233;happy;KS;sea;26;A;
234;happy;KS;seb;3;A;
235;happy;KS;seb;19;A;
236;happy;KS;sec;17;A;
237;happy;KS;sec;24;A;
238;happy;KS;sma;11;A;
239;happy;KS;smb;17;A;
240;happy;KS;smc;36;A;
241;happy;KS;cop;109;A;
242;happy;KS;cop;166;A;
243;happy;KS;cop;204;A;
244;happy;KS;cop;334;A;
245;happy;KS;stb;41;A;
246;happy;KS;stc;21;A;
247;happy;SS;aw;24;A;
248;happy;SS;sea;2;A;
249;happy;SS;sea;18;A;
250;happy;SS;seb;3;A;
251;happy;SS;seb;15;A;
252;happy;SS;seb;18;A;
253;happy;SS;smb;21;A;
254;happy;SS;std;3;A;
255;healthy;KS;asil;79;A;
256;healthy;KS;asil;373;A;
257;healthy;KS;sta;55;A;
258;hearty;SS;cop;304;A;
259;heavy;KS;was;135;A;
260;heavy;KS;was;138;A;
261;heavy;KS;was;188;A;
262;heavy;KS;was;190;A;
263;heavy;KS;was;222;A;
264;heavy;KS;was;261;A;
265;heavy;KS;bow;45;A;
266;heavy;KS;bow;136;A;
267;heavy;KS;bow;151;A;
268;heavy;KS;bow;232;A;
269;heavy;KS;bow;253;A;
270;heavy;KS;asil;78;A;
271;heavy;KS;seb;11;A;
272;heavy;KS;seb;28;A;
273;heavy;KS;cop;81;A;
274;heavy;KS;cop;312;A;
275;heavy;KS;sta;16;A;
276;heavy;KS;sta;32;A;
277;heavy;KS;std;15;A;
278;heavy;KS;std;15;A;
279;heavy;KS;std;54;A;
280;heavy;SS;was;250;A;
281;heavy;SS;asil;126;A;
282;heavy;SS;seb;26;A;
283;heavy;SS;sma;40;A;
284;heavy;SS;stb;21;A;
285;heavy;SS;std;19;A;
286;holy;KS;was;164;A;
287;homely;KA;asil;236;A;
288;homely;SS;asil;29;A;
289;humble;KA;std;56;A;
290;humble;KS;dr;94;A;
291;humble;KS;cop;76;A;
292;humble;SS;cop;96;A;
293;hungry;KS;asil;179;A;
294;hungry;KS;asil;214;A;
295;intense;KA;bow;45;A;
296;intense;KA;stb;2;A;
297;intense;SA;asil;253;A;
298;jumpy;KA;asil;323;A;
299;larky;KA;sta;29;A;
300;lazy;SS;sec;19;A;
301;likely;KA;was;82;A;
302;likely;KA;was;211;A;
303;likely;KA;bow;21;A;
304;likely;KA;bow;33;A;
305;likely;KA;sea;14;A;
306;likely;KA;sea;14;A;
307;likely;KA;seb;14;A;
308;likely;KA;sec;26;A;
309;likely;KA;cop;161;A;
310;likely;KA;cop;161;A;
311;likely;KA;gc;173;A;
312;likely;KA;sta;6;A;
313;likely;KA;sta;38;A;
314;likely;KA;sta;53;A;
315;likely;KA;sta;55;A;
316;likely;KA;stb;4;A;
317;likely;KA;stb;28;A;
318;likely;KA;stb;28;A;
319;likely;KA;stb;39;A;
320;likely;KA;stc;10;A;
321;likely;KA;stc;11;A;
322;likely;KA;stc;12;A;
323;likely;KA;stc;12;A;
324;likely;KA;stc;25;A;
325;likely;KA;stc;26;A;
326;likely;KA;std;16;A;
327;likely;KA;std;53;A;
328;likely;KS;std;4;A;
329;likely;SA;was;175;A;
330;likely;SA;bow;106;A;
331;likely;SA;bow;163;A;
332;likely;SA;sea;25;A;
333;likely;SA;std;6;A;
334;likely;SA;std;13;A;
335;lively;KS;sta;34;A;
336;lively;SS;sec;14;A;
337;lively;SS;sec;18;A;
338;lively;SS;stb;29;A;
339;lively;SS;stc;12;A;
340;lonely;KS;cop;49;A;
341;lonely;SS;cop;321;A;
;lousy;SS;aw;31;A;
342;lovely;KS;std;36;A;
343;lovely;SA;seb;16;A;
344;lovely;SS;asil;286;A;
345;lovely;SS;seb;12;A;
346;lucky;KS;was;24;A;
347;lucky;KS;was;79;A;
348;lucky;KS;cop;73;A;
349;mellow;KS;was;124;A;
350;mellow;KS;sta;37;A;
351;moody;KA;stb;41;A;
352;narrow;KS;was;181;A;
353;narrow;KS;sta;19;A;
354;narrow;SS;was;47;A;
355;narrow;SS;std;30;A;
356;nasty;SS;smc;12;A;
357;nasty;SS;sta;28;A;
358;nasty;SS;sta;41;A;
359;nasty;SS;stc;26;A;
360;needy;KA;seb;11;A;
361;noble;KA;asil;135;A;
362;noble;SS;sea;15;A;
363;noisy;KS;stb;19;A;
364;noisy;SS;bow;41;A;
365;petty;KS;cop;47;A;
366;pleasant;KA;was;168;A;
367;pleasant;KS;was;94;A;
368;pleasant;KS;cop;66;A;
369;pretty;KS;sea;3;A;
370;pretty;KS;cop;140;A;
371;pretty;KS;stc;28;A;
372;pretty;KS;stc;31;A;
373;pretty;SS;sea;2;A;
374;pretty;SS;sea;12;A;
375;pretty;SS;seb;5;A;
376;pretty;SS;sma;15;A;
377;pretty;SS;stc;48;A;
378;pretty;SS;std;32;A;
379;pretty;SS;std;34;A;
380;prickly;KA;cop;299;A;
381;pricy;KS;sea;12;A;
382;pure;KA;asil;243;A;
383;pure;KS;cop;111;A;
384;pure;SS;bow;81;A;
385;pure;SS;bow;198;A;
386;pushy;SS;stb;32;A;
387;quiet;KA;asil;298;A;
388;quiet;KS;sea;12;A;
389;quiet;KS;sta;38;A;
390;quiet;KS;std;36;A;
391;quiet;SS;std;17;A;
392;racy;SS;smb;11;A;
393;raunchy;SS;sma;12;A;
394;ready;KA;std;30;A;
395;remote;KA;asil;298;A;
396;remote;KA;sta;32;A;
397;remote;KA;stc;10;A;
398;remote;KS;sta;30;A;
399;remote;SS;cop;174;A;
400;rotten;KS;asil;336;A;
401;rusty;KS;sta;16;A;
402;secure;KA;sea;26;A;
403;severe;KA;sea;27;A;
404;severe;KA;cop;298;A;
405;severe;KA;stb;21;A;
406;severe;SA;smc;4;A;
407;severe;SA;sta;12;A;
408;severe;SA;std;4;A;
409;severe;SS;sta;17;A;
410;sexy;KS;sta;37;A;
411;sexy;SS;smb;4;A;
412;shaky;KS;asil;325;A;
413;shifty;KS;asil;233;A;
414;shiny;KS;smb;14;A;
415;silly;KS;sta;39;A;
416;silly;SS;stb;31;A;
417;simple;KA;sta;19;A;
418;simple;KS;was;53;A;
419;simple;KS;was;64;A;
420;simple;KS;was;83;A;
421;simple;KS;was;240;A;
422;simple;KS;smb;10;A;
423;simple;KS;cop;175;A;
424;simple;KS;cop;188;A;
425;simple;KS;cop;239;A;
