order_braun;pattern;text;adjective;form;page;category;corpus
736;l;tbw;easy;s;115;S;B
737;l;tbw;common;a;147;S;B
738;l;tbw;early;s;152;S;B
739;l;tbw;remote;s;153;S;B
740;l;tbw;early;s;154;S;B
741;l;tbw;remote;a;192;S;B
742;l;tbw;common;s;244;S;B
743;l;tbw;simple;s;280;S;B
744;l;tbw;simple;s;300;S;B
745;l;tul;common;a;35;S;B
746;l;tul;common;s;45;S;B
747;l;tul;common;a;81;S;B
748;l;tul;simple;s;106;S;B
749;l;tul;simple;s;200;S;B
750;l;tul;simple;s;200;S;B
751;l;tul;common;a;314;S;B
752;l;tul;common;a;315;S;B
753;l;tul;common;a;368;S;B
754;l;pce;common;s;v;S;B
755;l;pce;common;s;28;S;B
756;l;pce;early;s;34;S;B
757;l;pce;common;s;48;S;B
758;l;pce;common;s;63;S;B
759;l;pce;common;s;75;S;B
760;l;pce;common;s;75;S;B
761;l;pce;common;s;110;S;B
762;l;pce;witty;s;111;S;B
763;l;pce;common;a;122;S;B
764;l;pce;common;a;150;S;B
765;l;pce;common;s;159;S;B
766;l;pce;common;s;178;S;B
767;l;pce;common;s;230;S;B
768;l;awb;easy;s;147;S;B
769;l;awb;easy;s;147;S;B
770;l;awb;easy;s;147;S;B
771;l;ja;noisy;s;50;S;B
772;l;ja;happy;s;64;S;B
773;l;rat;pretty;s;8;S;B
774;l;rat;tatty;s;33;S;B
775;l;rat;simple;s;49;S;B
776;l;rat;simple;s;104;S;B
777;l;rat;pretty;s;109;S;B
778;l;rat;happy;s;111;S;B
779;l;rat;remote;s;126;S;B
780;l;rat;simple;s;213;S;B
781;l;lat;simple;s;26;S;B
782;l;lat;narrow;s;33;S;B
783;l;ta;remote;s;79;S;B
784;l;ta;lofty;a;184;S;B
785;l;ta;lofty;s;298;S;B
786;l;ta;bloody;s;311;S;B
787;l;ta;friendly;a;312;S;B
788;m;tbw;gentle;s;203;S;B
789;m;tbw;early;s;205;S;B
790;m;tbw;simple;s;267;S;B
791;m;tul;busy;s;61;S;B
792;m;tul;common;a;89;S;B
793;m;tul;easy;s;141;S;B
794;m;pce;common;s;35;S;B
795;m;pce;common;s;91;S;B
796;m;pce;common;s;127;S;B
797;m;pce;lovely;s;130;S;B
798;m;pce;common;s;135;S;B
799;m;pce;common;s;185;S;B
800;m;pce;common;s;207;S;B
801;m;pce;common;s;221;S;B
802;m;pce;common;s;222;S;B
803;m;pce;common;s;223;S;B
804;m;pce;common;s;223;S;B
805;m;pce;common;s;232;S;B
806;m;awb;soggy;s;182;S;B
807;m;rat;mucky;s;107;S;B
808;m;ta;discreet;a;12;S;B
809;m;ta;simple;s;165;S;B
810;m;ta;bitter;s;174;S;B
811;n;tbw;pure;s;33;S;B
812;n;tbw;simple;s;37;S;B
813;n;tbw;remote;a;85;S;B
814;n;tul;common;a;179;S;B
815;n;rat;naughty;s;122;S;B
816;o;tbw;easy;s;92;S;B
817;o;tbw;easy;s;303;S;B
