adjective	form	category	text	genre	publication_date	corpus	pattern	position	than_compl	definite	verb_pattern	coordinated	page	text_details
simple	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	49	J. Braine, Room at the top
subtle	a	C	rat	fiction	1957	B	b1	predicative	1	0	0	0	50	J. Braine, Room at the top
simple	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	104	J. Braine, Room at the top
dirty	a	C	rat	fiction	1957	B	b2	predicative	0	0	0	0	120	J. Braine, Room at the top
tatty	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	33	J. Braine, Room at the top
easy	s	C	rat	fiction	1957	B	c4	postnominal	0	0	1	0	145	J. Braine, Room at the top
healthy	s	C	rat	fiction	1957	B	a2	attributive	0	0	0	0	165	J. Braine, Room at the top
healthy	s	C	rat	fiction	1957	B	a2	attributive	0	0	0	0	165	J. Braine, Room at the top
handsome	a	C	rat	fiction	1957	B	b1	predicative	1	0	0	0	37	J. Braine, Room at the top
naughty	s	S	rat	fiction	1957	B	n	predicative	NA	NA	NA	0	122	J. Braine, Room at the top
remote	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	126	J. Braine, Room at the top
pretty	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	8	J. Braine, Room at the top
greedy	a	C	rat	fiction	1957	B	b1	predicative	1	0	0	0	98	J. Braine, Room at the top
pleasant	a	C	rat	fiction	1957	B	g1	nominalized	0	NA	0	0	216	J. Braine, Room at the top
easy	s	C	rat	fiction	1957	B	a2	attributive	0	0	0	0	42	J. Braine, Room at the top
pretty	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	109	J. Braine, Room at the top
mucky	s	S	rat	fiction	1957	B	m	attributive	NA	NA	NA	1	107	J. Braine, Room at the top
simple	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	213	J. Braine, Room at the top
happy	s	S	rat	fiction	1957	B	l	attributive	NA	NA	NA	0	111	J. Braine, Room at the top
clever	s	C	sea	newspaper	1974	A	a2	attributive	0	0	0	0	18	Sunday Express Jun 23 1974
likely	a	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	25	Sunday Express Jun 23 1974
likely	a	C	sea	newspaper	1974	A	b2	predicative	0	0	0	0	14	Sunday Express Jun 23 1974
pretty	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	2	Sunday Express Jun 23 1974
simple	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	16	Sunday Express Jun 23 1974
compact	a	C	sea	newspaper	1974	A	e1	predicative	1	0	0	1	3	Sunday Express Jun 23 1974
pretty	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	12	Sunday Express Jun 23 1974
happy	s	S	sea	newspaper	1974	A	n	predicative	NA	NA	NA	0	2	Sunday Express Jun 23 1974
early	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	9	Sunday Express Jun 23 1974
quiet	s	C	sea	newspaper	1974	A	a2	attributive	0	0	0	0	12	Sunday Express Jun 23 1974
pricy	s	C	sea	newspaper	1974	A	a3	attributive	0	1	0	0	12	Sunday Express Jun 23 1974
tricky	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	27	Sunday Express Jun 23 1974
common	a	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	22	Sunday Express Jun 23 1974
happy	s	S	sea	newspaper	1974	A	l	attributive	NA	NA	NA	0	18	Sunday Express Jun 23 1974
severe	a	C	sea	newspaper	1974	A	b1	predicative	1	0	0	0	27	Sunday Express Jun 23 1974
pretty	s	C	sea	newspaper	1974	A	e1	predicative	1	0	0	1	3	Sunday Express Jun 23 1974
noble	s	S	sea	newspaper	1974	A	m	attributive	NA	NA	NA	1	15	Sunday Express Jun 23 1974
happy	s	C	sea	newspaper	1974	A	b1	predicative	1	0	0	0	26	Sunday Express Jun 23 1974
secure	a	C	sea	newspaper	1974	A	b2	predicative	0	0	0	0	26	Sunday Express Jun 23 1974
early	s	C	sea	newspaper	1974	A	a3	attributive	0	1	0	0	27	Sunday Express Jun 23 1974
heavy	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	26	Sunday Express Jun 30 1974
early	s	C	seb	newspaper	1974	A	a3	attributive	0	1	0	0	27	Sunday Express Jun 30 1974
lovely	a	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	16	Sunday Express Jun 30 1974
cruel	a	S	seb	newspaper	1974	A	n	predicative	NA	NA	NA	0	11	Sunday Express Jun 30 1974
dolly	s	C	seb	newspaper	1974	A	e1	predicative	1	0	0	1	2	Sunday Express Jun 30 1974
sober	a	C	seb	newspaper	1974	A	c2	postnominal	0	0	0	0	11	Sunday Express Jun 30 1974
easy	s	C	seb	newspaper	1974	A	b1	predicative	1	0	0	0	24	Sunday Express Jun 30 1974
easy	s	C	seb	newspaper	1974	A	b1	predicative	1	0	0	0	24	Sunday Express Jun 30 1974
heavy	s	C	seb	newspaper	1974	A	a3	attributive	0	1	0	0	28	Sunday Express Jun 30 1974
pretty	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	5	Sunday Express Jun 30 1974
dire	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	3	Sunday Express Jun 30 1974
happy	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	15	Sunday Express Jun 30 1974
lovely	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	12	Sunday Express Jun 30 1974
ugly	a	C	seb	newspaper	1974	A	e1	predicative	1	0	0	1	5	Sunday Express Jun 30 1974
heavy	s	C	seb	newspaper	1974	A	a1	attributive	1	0	0	0	11	Sunday Express Jun 30 1974
needy	a	C	seb	newspaper	1974	A	d2	attributive	0	0	0	1	11	Sunday Express Jun 30 1974
catchy	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	18	Sunday Express Jun 30 1974
likely	a	C	seb	newspaper	1974	A	c4	postnominal	0	0	1	0	14	Sunday Express Jun 30 1974
happy	s	S	seb	newspaper	1974	A	l	attributive	NA	NA	NA	0	3	Sunday Express Jun 30 1974
happy	s	C	seb	newspaper	1974	A	a2	attributive	0	0	0	0	3	Sunday Express Jun 30 1974
likely	a	C	seb	newspaper	1974	A	c4	postnominal	0	0	1	0	14	Sunday Express Jun 30 1974
happy	s	C	seb	newspaper	1974	A	a2	attributive	0	0	0	0	19	Sunday Express Jun 30 1974
early	s	C	seb	newspaper	1974	A	a2	attributive	0	0	0	0	1	Sunday Express Jun 30 1974
happy	s	S	seb	newspaper	1974	A	m	attributive	NA	NA	NA	1	18	Sunday Express Jun 30 1974
happy	s	C	sec	newspaper	1974	A	b2	predicative	0	0	0	0	17	Sunday Express Jul 7 1974
lively	s	S	sec	newspaper	1974	A	l	attributive	NA	NA	NA	0	14	Sunday Express Jul 7 1974
easy	s	C	sec	newspaper	1974	A	b2	predicative	0	0	0	0	4	Sunday Express Jul 7 1974
happy	s	C	sec	newspaper	1974	A	b2	predicative	0	0	0	0	24	Sunday Express Jul 7 1974
lively	s	S	sec	newspaper	1974	A	m	attributive	NA	NA	NA	1	18	Sunday Express Jul 7 1974
easy	s	C	sec	newspaper	1974	A	b1	predicative	1	0	0	0	25	Sunday Express Jul 7 1974
likely	a	C	sec	newspaper	1974	A	b2	predicative	0	0	0	0	26	Sunday Express Jul 7 1974
early	s	S	sec	newspaper	1974	A	l	attributive	NA	NA	NA	0	1	Sunday Express Jul 7 1974
easy	s	C	sec	newspaper	1974	A	c4	postnominal	0	0	1	0	8	Sunday Express Jul 7 1974
busy	s	C	sec	newspaper	1974	A	b1	predicative	1	0	0	0	3	Sunday Express Jul 7 1974
early	s	S	sec	newspaper	1974	A	l	attributive	NA	NA	NA	0	6	Sunday Express Jul 7 1974
simple	s	S	sec	newspaper	1974	A	l	attributive	NA	NA	NA	0	22	Sunday Express Jul 7 1974
lazy	s	S	sec	newspaper	1974	A	l	attributive	NA	NA	NA	0	19	Sunday Express Jul 7 1974
clever	s	S	sec	newspaper	1974	A	n	predicative	NA	NA	NA	0	28	Sunday Express Jul 7 1974
early	s	C	sec	newspaper	1974	A	a2	attributive	0	0	0	0	27	Sunday Express Jul 7 1974
easy	s	C	sec	newspaper	1974	A	b2	predicative	0	0	0	0	9	Sunday Express Jul 7 1974
easy	s	C	sec	newspaper	1974	A	c4	postnominal	0	0	1	0	6	Sunday Express Jul 7 1974
pretty	s	S	sma	newspaper	1974	A	n	predicative	NA	NA	NA	0	15	Sunday Mirror Jun 23 1974
heavy	s	S	sma	newspaper	1974	A	l	attributive	NA	NA	NA	0	40	Sunday Mirror Jun 23 1974
zany	s	S	sma	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Mirror Jun 23 1974
early	s	C	sma	newspaper	1974	A	a2	attributive	0	0	0	0	25	Sunday Mirror Jun 23 1974
raunchy	s	S	sma	newspaper	1974	A	n	predicative	NA	NA	NA	0	12	Sunday Mirror Jun 23 1974
happy	s	C	sma	newspaper	1974	A	a2	attributive	0	0	0	0	11	Sunday Mirror Jun 23 1974
easy	s	C	sma	newspaper	1974	A	b1	predicative	1	0	0	0	27	Sunday Mirror Jun 23 1974
gentle	s	S	sma	newspaper	1974	A	l	attributive	NA	NA	NA	0	21	Sunday Mirror Jun 23 1974
crazy	s	S	sma	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Mirror Jun 23 1974
zany	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	7	Sunday Mirror Jun 30 1974
unkind	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	2	Sunday Mirror Jun 30 1974
simple	s	C	smb	newspaper	1974	A	b2	predicative	0	0	0	0	10	Sunday Mirror Jun 30 1974
happy	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	21	Sunday Mirror Jun 30 1974
sexy	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Mirror Jun 30 1974
dishy	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	26	Sunday Mirror Jun 30 1974
racy	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	11	Sunday Mirror Jun 30 1974
easy	s	C	smb	newspaper	1974	A	b2	predicative	0	0	0	0	10	Sunday Mirror Jun 30 1974
dishy	s	S	smb	newspaper	1974	A	m	attributive	NA	NA	NA	1	19	Sunday Mirror Jun 30 1974
happy	s	C	smb	newspaper	1974	A	b2	predicative	0	0	0	0	17	Sunday Mirror Jun 30 1974
crusty	s	S	smb	newspaper	1974	A	m	attributive	NA	NA	NA	1	27	Sunday Mirror Jun 30 1974
easy	s	S	smb	newspaper	1974	A	m	attributive	NA	NA	NA	1	21	Sunday Mirror Jun 30 1974
smelly	s	S	smb	newspaper	1974	A	l	attributive	NA	NA	NA	0	32	Sunday Mirror Jun 30 1974
early	s	C	smb	newspaper	1974	A	a2	attributive	0	0	0	0	5	Sunday Mirror Jun 30 1974
shiny	s	C	smb	newspaper	1974	A	b2	predicative	0	0	0	0	14	Sunday Mirror Jun 30 1974
smelly	s	C	smb	newspaper	1974	A	i1	NA	NA	NA	NA	NA	32	Sunday Mirror Jun 30 1974
dirty	s	S	smc	newspaper	1974	A	l	attributive	NA	NA	NA	0	23	Sunday Mirror Jul 7 1974
severe	a	S	smc	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Mirror Jul 7 1974
flimsy	s	S	smc	newspaper	1974	A	l	attributive	NA	NA	NA	0	26	Sunday Mirror Jul 7 1974
steady	s	C	smc	newspaper	1974	A	b1	predicative	1	0	0	0	37	Sunday Mirror Jul 7 1974
nasty	s	S	smc	newspaper	1974	A	l	attributive	NA	NA	NA	0	12	Sunday Mirror Jul 7 1974
happy	s	C	smc	newspaper	1974	A	b2	predicative	0	0	0	0	36	Sunday Mirror Jul 7 1974
discreet	a	C	smc	newspaper	1974	A	b2	predicative	0	0	0	0	32	Sunday Mirror Jul 7 1974
likely	a	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	55	Sunday Times, Jun 9 1974
easy	s	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	39	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	42	Sunday Times, Jun 9 1974
simple	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	19	Sunday Times, Jun 9 1974
costly	s	C	sta	newspaper	1974	A	d2	attributive	0	0	0	1	59	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	37	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	15	Sunday Times, Jun 9 1974
feeble	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	9	Sunday Times, Jun 9 1974
acute	a	C	sta	newspaper	1974	A	c4	postnominal	0	0	1	0	62	Sunday Times, Jun 9 1974
sexy	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	37	Sunday Times, Jun 9 1974
easy	s	C	sta	newspaper	1974	A	c4	postnominal	0	0	1	0	16	Sunday Times, Jun 9 1974
nasty	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	41	Sunday Times, Jun 9 1974
lively	s	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	34	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	4	Sunday Times, Jun 9 1974
remote	a	C	sta	newspaper	1974	A	e2	predicative	0	0	0	1	32	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	13	Sunday Times, Jun 9 1974
likely	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	38	Sunday Times, Jun 9 1974
rusty	s	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	16	Sunday Times, Jun 9 1974
heavy	s	C	sta	newspaper	1974	A	a1	attributive	1	0	0	0	32	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	38	Sunday Times, Jun 9 1974
early	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	37	Sunday Times, Jun 9 1974
tricky	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	31	Sunday Times, Jun 9 1974
severe	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	17	Sunday Times, Jun 9 1974
larky	a	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	29	Sunday Times, Jun 9 1974
easy	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	9	Sunday Times, Jun 9 1974
mellow	s	C	sta	newspaper	1974	A	d1	attributive	1	0	0	1	37	Sunday Times, Jun 9 1974
able	a	C	sta	newspaper	1974	A	d1	attributive	1	0	0	1	16	Sunday Times, Jun 9 1974
quiet	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	38	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	2	Sunday Times, Jun 9 1974
easy	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	3	Sunday Times, Jun 9 1974
simple	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	21	Sunday Times, Jun 9 1974
silly	s	C	sta	newspaper	1974	A	a1	attributive	1	0	0	0	39	Sunday Times, Jun 9 1974
easy	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	52	Sunday Times, Jun 9 1974
funny	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	52	Sunday Times, Jun 9 1974
remote	s	C	sta	newspaper	1974	A	a2	attributive	0	0	0	0	30	Sunday Times, Jun 9 1974
severe	a	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	12	Sunday Times, Jun 9 1974
likely	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	6	Sunday Times, Jun 9 1974
healthy	s	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	55	Sunday Times, Jun 9 1974
fruity	s	C	sta	newspaper	1974	A	c2	postnominal	0	0	0	0	32	Sunday Times, Jun 9 1974
nasty	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	28	Sunday Times, Jun 9 1974
early	s	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	31	Sunday Times, Jun 9 1974
narrow	s	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	19	Sunday Times, Jun 9 1974
likely	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	53	Sunday Times, Jun 9 1974
clever	s	S	sta	newspaper	1974	A	l	attributive	NA	NA	NA	0	30	Sunday Times, Jun 9 1974
simple	s	C	sta	newspaper	1974	A	b1	predicative	1	0	0	0	58	Sunday Times, Jun 9 1974
heavy	s	C	sta	newspaper	1974	A	a3	attributive	0	1	0	0	16	Sunday Times, Jun 9 1974
common	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	59	Sunday Times, Jun 9 1974
acute	a	C	sta	newspaper	1974	A	b2	predicative	0	0	0	0	53	Sunday Times, Jun 9 1974
likely	a	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	28	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	31	Sunday Times, Jun 16 1974
bitter	a	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Times, Jun 16 1974
able	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	4	Sunday Times, Jun 16 1974
moody	a	C	stb	newspaper	1974	A	f4	postnominal	0	0	1	1	41	Sunday Times, Jun 16 1974
heavy	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	21	Sunday Times, Jun 16 1974
spicy	s	S	stb	newspaper	1974	A	o	predicative	NA	NA	NA	1	32	Sunday Times, Jun 16 1974
friendly	a	C	stb	newspaper	1974	A	d2	attributive	0	0	0	1	17	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a2	attributive	0	0	0	0	20	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a2	attributive	0	0	0	0	8	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	11	Sunday Times, Jun 16 1974
cruel	a	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	13	Sunday Times, Jun 16 1974
pushy	s	S	stb	newspaper	1974	A	m	attributive	NA	NA	NA	1	32	Sunday Times, Jun 16 1974
able	a	C	stb	newspaper	1974	A	g1	nominalized	0	NA	0	0	15	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	11	Sunday Times, Jun 16 1974
gloomy	a	C	stb	newspaper	1974	A	a2	attributive	0	0	0	0	41	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	b1	predicative	1	0	0	0	20	Sunday Times, Jun 16 1974
simple	s	S	stb	newspaper	1974	A	n	predicative	NA	NA	NA	0	32	Sunday Times, Jun 16 1974
noisy	s	C	stb	newspaper	1974	A	i1	NA	NA	NA	NA	NA	19	Sunday Times, Jun 16 1974
common	s	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	39	Sunday Times, Jun 16 1974
easy	s	S	stb	newspaper	1974	A	m	attributive	NA	NA	NA	1	20	Sunday Times, Jun 16 1974
silly	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	31	Sunday Times, Jun 16 1974
easy	s	C	stb	newspaper	1974	A	d3	attributive	0	1	0	1	30	Sunday Times, Jun 16 1974
likely	a	C	stb	newspaper	1974	A	i1	NA	NA	NA	NA	NA	4	Sunday Times, Jun 16 1974
happy	s	C	stb	newspaper	1974	A	a2	attributive	0	0	0	0	41	Sunday Times, Jun 16 1974
likely	a	C	stb	newspaper	1974	A	b2	predicative	0	0	0	0	39	Sunday Times, Jun 16 1974
easy	s	C	stb	newspaper	1974	A	b1	predicative	1	0	0	0	38	Sunday Times, Jun 16 1974
intense	a	C	stb	newspaper	1974	A	b1	predicative	1	0	0	0	2	Sunday Times, Jun 16 1974
lively	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	29	Sunday Times, Jun 16 1974
giddy	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	63	Sunday Times, Jun 16 1974
stable	a	C	stb	newspaper	1974	A	b1	predicative	1	0	0	0	32	Sunday Times, Jun 16 1974
funny	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	43	Sunday Times, Jun 16 1974
severe	a	C	stb	newspaper	1974	A	b2	predicative	0	0	0	0	21	Sunday Times, Jun 16 1974
likely	a	C	stb	newspaper	1974	A	b2	predicative	0	0	0	0	28	Sunday Times, Jun 16 1974
funny	s	C	stb	newspaper	1974	A	b1	predicative	1	0	0	0	38	Sunday Times, Jun 16 1974
simple	s	S	stb	newspaper	1974	A	l	attributive	NA	NA	NA	0	31	Sunday Times, Jun 16 1974
early	s	C	stb	newspaper	1974	A	a3	attributive	0	1	0	0	41	Sunday Times, Jun 16 1974
sober	a	C	stb	newspaper	1974	A	g1	nominalized	0	NA	0	0	31	Sunday Times, Jun 16 1974
easy	s	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	23	Sunday Times, Jun 23 1974
simple	s	C	stc	newspaper	1974	A	d2	attributive	0	0	0	1	27	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	24	Sunday Times, Jun 23 1974
early	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	29	Sunday Times, Jun 23 1974
deadly	a	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	23	Sunday Times, Jun 23 1974
tipsy	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	36	Sunday Times, Jun 23 1974
clever	s	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	28	Sunday Times, Jun 23 1974
able	s	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	28	Sunday Times, Jun 23 1974
lively	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	12	Sunday Times, Jun 23 1974
easy	s	C	stc	newspaper	1974	A	c4	postnominal	0	0	1	0	10	Sunday Times, Jun 23 1974
sorry	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	36	Sunday Times, Jun 23 1974
common	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	26	Sunday Times, Jun 23 1974
common	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	26	Sunday Times, Jun 23 1974
simple	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	8	Sunday Times, Jun 23 1974
common	s	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	21	Sunday Times, Jun 23 1974
easy	s	S	stc	newspaper	1974	A	m	attributive	NA	NA	NA	1	12	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	12	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	12	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	11	Sunday Times, Jun 23 1974
easy	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	20	Sunday Times, Jun 23 1974
nasty	s	S	stc	newspaper	1974	A	m	attributive	NA	NA	NA	1	26	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a3	attributive	0	1	0	0	42	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	25	Sunday Times, Jun 23 1974
early	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	13	Sunday Times, Jun 23 1974
happy	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	21	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	10	Sunday Times, Jun 23 1974
common	a	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	11	Sunday Times, Jun 23 1974
stormy	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	11	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	12	Sunday Times, Jun 23 1974
easy	s	C	stc	newspaper	1974	A	c4	postnominal	0	0	1	0	37	Sunday Times, Jun 23 1974
pretty	s	C	stc	newspaper	1974	A	b1	predicative	1	0	0	0	28	Sunday Times, Jun 23 1974
likely	a	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	26	Sunday Times, Jun 23 1974
sunny	s	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	42	Sunday Times, Jun 23 1974
dirty	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	41	Sunday Times, Jun 23 1974
pretty	s	C	stc	newspaper	1974	A	e1	predicative	1	0	0	1	31	Sunday Times, Jun 23 1974
busy	s	C	stc	newspaper	1974	A	b2	predicative	0	0	0	0	48	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a3	attributive	0	1	0	0	30	Sunday Times, Jun 23 1974
remote	a	C	stc	newspaper	1974	A	d3	attributive	0	1	0	1	10	Sunday Times, Jun 23 1974
common	a	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	43	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a3	attributive	0	1	0	0	36	Sunday Times, Jun 23 1974
discreet	a	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	43	Sunday Times, Jun 23 1974
common	a	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	48	Sunday Times, Jun 23 1974
early	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	30	Sunday Times, Jun 23 1974
pretty	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	48	Sunday Times, Jun 23 1974
funny	s	S	stc	newspaper	1974	A	l	attributive	NA	NA	NA	0	30	Sunday Times, Jun 23 1974
early	s	C	stc	newspaper	1974	A	a2	attributive	0	0	0	0	41	Sunday Times, Jun 23 1974
easy	s	C	std	newspaper	1974	A	b2	predicative	0	0	0	0	9	Sunday Times, Jun 30 1974
discreet	s	C	std	newspaper	1974	A	d2	attributive	0	0	0	1	17	Sunday Times, Jun 30 1974
easy	s	C	std	newspaper	1974	A	c4	postnominal	0	0	1	0	13	Sunday Times, Jun 30 1974
early	s	C	std	newspaper	1974	A	a3	attributive	0	1	0	0	52	Sunday Times, Jun 30 1974
simple	s	C	std	newspaper	1974	A	a2	attributive	0	0	0	0	54	Sunday Times, Jun 30 1974
simple	s	S	std	newspaper	1974	A	l	attributive	NA	NA	NA	0	33	Sunday Times, Jun 30 1974
likely	a	S	std	newspaper	1974	A	m	attributive	NA	NA	NA	1	6	Sunday Times, Jun 30 1974
pretty	s	S	std	newspaper	1974	A	l	attributive	NA	NA	NA	0	32	Sunday Times, Jun 30 1974
ready	a	C	std	newspaper	1974	A	b2	predicative	0	0	0	0	30	Sunday Times, Jun 30 1974
early	s	C	std	newspaper	1974	A	a3	attributive	0	1	0	0	36	Sunday Times, Jun 30 1974
narrow	s	S	std	newspaper	1974	A	l	attributive	NA	NA	NA	0	30	Sunday Times, Jun 30 1974
simple	s	C	std	newspaper	1974	A	d2	attributive	0	0	0	1	17	Sunday Times, Jun 30 1974
sublime	a	C	std	newspaper	1974	A	a1	attributive	1	0	0	0	36	Sunday Times, Jun 30 1974
simple	s	S	std	newspaper	1974	A	l	attributive	NA	NA	NA	0	15	Sunday Times, Jun 30 1974
stately	s	C	std	newspaper	1974	A	a3	attributive	0	1	0	0	32	Sunday Times, Jun 30 1974
easy	s	S	std	newspaper	1974	A	n	predicative	NA	NA	NA	0	62	Sunday Times, Jun 30 1974
