adjective	form	category	text	genre	publication_date	corpus	pattern	position	than_compl	definite	verb_pattern	coordinated	page	text_details
happy	s	C	awb	drama	1960	B	b2	predicative	0	0	0	0	160	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	S	awb	drama	1960	B	l	attributive	NA	NA	NA	0	147	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
soggy	s	S	awb	drama	1960	B	m	attributive	NA	NA	NA	1	182	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
happy	a	C	awb	drama	1960	B	e2	predicative	0	0	0	1	129	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	C	awb	drama	1960	B	b2	predicative	0	0	0	0	69	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	S	awb	drama	1960	B	l	attributive	NA	NA	NA	0	147	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	S	awb	drama	1960	B	l	attributive	NA	NA	NA	0	147	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	C	awb	drama	1960	B	b2	predicative	0	0	0	0	200	A. Wesker, Chicken sourp with barley, Roots, I'm talking about Jerusalem
easy	s	C	bow	nonfiction	1965	A	e1	predicative	1	0	0	1	193	A. Sichel, The Penguin books of wines
subtle	a	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	96	A. Sichel, The Penguin books of wines
likely	a	S	bow	nonfiction	1965	A	m	attributive	NA	NA	NA	1	106	A. Sichel, The Penguin books of wines
fleshy	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	208	A. Sichel, The Penguin books of wines
likely	a	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	21	A. Sichel, The Penguin books of wines
heavy	s	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	45	A. Sichel, The Penguin books of wines
likely	a	S	bow	nonfiction	1965	A	m	attributive	NA	NA	NA	1	163	A. Sichel, The Penguin books of wines
austere	a	C	bow	nonfiction	1965	A	a2	attributive	0	0	0	0	82	A. Sichel, The Penguin books of wines
gentle	a	C	bow	nonfiction	1965	A	a2	attributive	0	0	0	0	112	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	33	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	c4	postnominal	0	0	1	0	210	A. Sichel, The Penguin books of wines
heavy	s	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	253	A. Sichel, The Penguin books of wines
austere	a	S	bow	nonfiction	1965	A	o	predicative	NA	NA	NA	1	189	A. Sichel, The Penguin books of wines
stumpy	s	C	bow	nonfiction	1965	A	a2	attributive	0	0	0	0	53	A. Sichel, The Penguin books of wines
pure	s	S	bow	nonfiction	1965	A	m	attributive	NA	NA	NA	1	81	A. Sichel, The Penguin books of wines
subtle	a	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	111	A. Sichel, The Penguin books of wines
subtle	a	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	44	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	27	A. Sichel, The Penguin books of wines
heavy	s	C	bow	nonfiction	1965	A	d3	attributive	0	1	0	1	136	A. Sichel, The Penguin books of wines
pure	s	S	bow	nonfiction	1965	A	l	attributive	NA	NA	NA	0	198	A. Sichel, The Penguin books of wines
gentle	a	C	bow	nonfiction	1965	A	a3	attributive	0	1	0	0	112	A. Sichel, The Penguin books of wines
austere	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	177	A. Sichel, The Penguin books of wines
noisy	s	S	bow	nonfiction	1965	A	n	predicative	NA	NA	NA	0	41	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	106	A. Sichel, The Penguin books of wines
heavy	s	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	232	A. Sichel, The Penguin books of wines
heavy	s	C	bow	nonfiction	1965	A	d2	attributive	0	0	0	1	151	A. Sichel, The Penguin books of wines
intense	a	C	bow	nonfiction	1965	A	d3	attributive	0	1	0	1	45	A. Sichel, The Penguin books of wines
costly	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	152	A. Sichel, The Penguin books of wines
subtle	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	45	A. Sichel, The Penguin books of wines
clumsy	a	S	bow	nonfiction	1965	A	l	attributive	NA	NA	NA	0	53	A. Sichel, The Penguin books of wines
clumsy	s	C	bow	nonfiction	1965	A	a1	attributive	1	0	0	0	236	A. Sichel, The Penguin books of wines
likely	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	33	A. Sichel, The Penguin books of wines
common	s	C	bow	nonfiction	1965	A	c1	postnominal	1	0	0	0	222	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	33	A. Sichel, The Penguin books of wines
subtle	a	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	98	A. Sichel, The Penguin books of wines
easy	a	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	210	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	f4	postnominal	0	0	1	1	171	A. Sichel, The Penguin books of wines
common	s	S	bow	nonfiction	1965	A	l	attributive	NA	NA	NA	0	35	A. Sichel, The Penguin books of wines
common	a	C	bow	nonfiction	1965	A	b2	predicative	0	0	0	0	157	A. Sichel, The Penguin books of wines
easy	s	C	bow	nonfiction	1965	A	b1	predicative	1	0	0	0	109	A. Sichel, The Penguin books of wines
austere	a	S	cop	fiction	1964	A	o	predicative	NA	NA	NA	1	104	C.P. Snow, The corridors of power
happy	s	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	334	C.P. Snow, The corridors of power
angry	a	C	cop	fiction	1964	A	c4	postnominal	0	0	1	0	294	C.P. Snow, The corridors of power
pure	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	111	C.P. Snow, The corridors of power
early	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	247	C.P. Snow, The corridors of power
handsome	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	221	C.P. Snow, The corridors of power
flashy	a	C	cop	fiction	1964	A	c1	postnominal	1	0	0	0	117	C.P. Snow, The corridors of power
lucky	s	C	cop	fiction	1964	A	d2	attributive	0	0	0	1	73	C.P. Snow, The corridors of power
stable	s	C	cop	fiction	1964	A	d2	attributive	0	0	0	1	73	C.P. Snow, The corridors of power
bitter	a	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	330	C.P. Snow, The corridors of power
sombre	a	C	cop	fiction	1964	A	e2	predicative	0	0	0	1	161	C.P. Snow, The corridors of power
funny	s	C	cop	fiction	1964	A	c3	postnominal	1	0	1	0	56	C.P. Snow, The corridors of power
humble	s	C	cop	fiction	1964	A	a2	attributive	0	0	0	0	76	C.P. Snow, The corridors of power
bitter	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	228	C.P. Snow, The corridors of power
subtle	s	C	cop	fiction	1964	A	f1	postnominal	1	0	0	1	98	C.P. Snow, The corridors of power
easy	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	64	C.P. Snow, The corridors of power
early	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	128	C.P. Snow, The corridors of power
remote	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	174	C.P. Snow, The corridors of power
pleasant	s	C	cop	fiction	1964	A	c2	postnominal	0	0	0	0	66	C.P. Snow, The corridors of power
severe	a	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	298	C.P. Snow, The corridors of power
heavy	s	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	312	C.P. Snow, The corridors of power
friendly	a	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	190	C.P. Snow, The corridors of power
clever	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	220	C.P. Snow, The corridors of power
easy	s	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	290	C.P. Snow, The corridors of power
lonely	s	S	cop	fiction	1964	A	m	attributive	NA	NA	NA	1	321	C.P. Snow, The corridors of power
